Modell der Schulbibliothek;Anzahl Schulbibliothek (2017)
Schulbibliotheken als Orte des guten Unterrichts;0
Schulbibliotheken als Lese-Lern-Räume;31
Schulbibliotheken als Offene Lernräume;16
Schulbibliotheken als schulfreie Räume in Schulen;5
Schulbibliotheken als kleine Stadtteilbibliotheken;3
