"Repositorientyp","Anzahl der OAR betrieben an Universitäten, Total (Prozent an Repositorientyp)","Anzahl der OAR betrieben an Fachhochschulen, Total (Prozent an Repositorientyp)","Anzahl der OAR betrieben an Außeruniversitären Forschungseinrichtungen und Anderen, Total (Prozent an Repositorientyp)","Gesamtanzahl der OAR des jeweiligen Repositorientyps Total (Prozent an BRD)"
"Fachbezogenes OAR","8 (47,06 %)","0 (0,00 %)","9 (52,94 %)","17 (11,18 %)"
"Institutionelles OAR","78 (57,78 %)","27 (20,00 %)","30 (22,22 %)","135 (88,82 %)"
"Total","86 (56,58 %)","27 (17,76 %)","39 (25,66 %)","152 (100,00 %)"
