"(n=80)*","Median Startdatum von OAR betrieben an Universitäten","Median Startdatum von OAR betrieben an Fachhochschulen","Median Startdatum von OAR betrieben an Außeruniversitären Forschungseinrichtungen und Anderen"
"Startdatum","2002 (51)","2006 (9)","2006 (21)"
