;Grundschule;Gesamtschule;Hauptschule;Realschule;Integrierte Sekundarschule;Gymnasium;Freie Waldorfschule;Gesamt
Apr 08;95;14;1;4;-;22;1;139
Apr 09;110;16;6;5;-;31;1;177
Apr 10;155;13;9;5;-;41;2;235
Apr 11;182;20;5;12;28;39;2;252
Apr 12;146;-;-;-;36;39;2;232
Apr 13;184;-;-;-;37;38;3;262
Apr 14;159;-;-;-;29;36;2;226
Apr 15;167;-;-;-;33;41;2;226
Apr 16;167;-;-;-;38;49;3;257
Apr 17;174;-;-;-;41;43;2;260
